Date,Price,Open,High,Low,Change %
"Aug 18, 2003",999.70,990.70,1000.40,990.70,0.91%
"Aug 19, 2003",1002.40,999.70,1003.30,995.30,0.27%
"Aug 20, 2003",1000.30,1002.40,1003.50,996.60,-0.21%
"Aug 21, 2003",1003.30,1000.30,1009.50,999.30,0.30%
"Aug 22, 2003",993.10,1003.30,1011.00,992.60,-1.02%
"Aug 25, 2003",993.70,993.10,993.70,987.90,0.06%
"Aug 26, 2003",996.70,993.70,997.90,983.60,0.30%
"Aug 27, 2003",996.80,996.70,998.00,993.30,0.01%
"Aug 28, 2003",1002.80,996.80,1004.10,991.40,0.60%
"Aug 29, 2003",1008.00,1002.80,1008.90,999.50,0.52%
"Sep 02, 2003",1022.00,1008.00,1022.60,1005.70,1.39%
"Sep 03, 2003",1026.30,1022.00,1029.30,1022.00,0.42%
"Sep 04, 2003",1028.00,1026.30,1029.20,1022.20,0.17%
"Sep 05, 2003",1021.40,1028.00,1029.20,1018.20,-0.64%
"Sep 08, 2003",1031.60,1021.40,1032.40,1021.40,1.00%
"Sep 09, 2003",1023.20,1031.60,1031.60,1021.10,-0.81%
"Sep 10, 2003",1010.90,1023.20,1023.20,1009.70,-1.20%
"Sep 11, 2003",1016.40,1010.90,1020.90,1010.90,0.54%
"Sep 12, 2003",1018.60,1016.40,1019.60,1007.70,0.22%
"Sep 15, 2003",1014.80,1018.60,1019.80,1013.60,-0.37%
"Sep 16, 2003",1029.30,1014.80,1029.70,1014.80,1.43%
"Sep 17, 2003",1026.00,1029.30,1031.30,1024.50,-0.32%
"Sep 18, 2003",1039.60,1026.00,1040.20,1025.80,1.33%
"Sep 19, 2003",1036.30,1039.60,1040.30,1031.90,-0.32%
"Sep 22, 2003",1022.80,1036.30,1036.30,1018.30,-1.30%
"Sep 23, 2003",1029.00,1022.80,1030.10,1021.50,0.61%
"Sep 24, 2003",1009.40,1029.00,1029.80,1008.90,-1.90%
"Sep 25, 2003",1003.30,1009.40,1016.00,1003.30,-0.60%
"Sep 26, 2003",996.90,1003.30,1003.50,996.10,-0.64%
"Sep 29, 2003",1006.60,996.90,1006.90,995.30,0.97%
"Sep 30, 2003",996.00,1006.60,1006.60,990.40,-1.05%
"Oct 01, 2003",1018.20,996.00,1018.20,996.00,2.23%
"Oct 02, 2003",1020.20,1018.20,1021.90,1013.40,0.20%
"Oct 03, 2003",1029.80,1020.20,1039.30,1020.20,0.94%
"Oct 06, 2003",1034.30,1029.80,1036.50,1029.20,0.44%
"Oct 07, 2003",1039.20,1034.30,1039.20,1026.20,0.47%
"Oct 08, 2003",1033.80,1039.20,1040.10,1031.00,-0.52%
"Oct 09, 2003",1038.70,1033.80,1048.30,1033.80,0.47%
"Oct 10, 2003",1038.10,1038.70,1040.80,1035.70,-0.06%
"Oct 13, 2003",1045.30,1038.10,1048.90,1038.10,0.69%
"Oct 14, 2003",1049.50,1045.30,1049.50,1040.80,0.40%
"Oct 15, 2003",1046.80,1049.50,1053.80,1043.20,-0.26%
"Oct 16, 2003",1050.10,1046.80,1052.90,1044.00,0.32%
"Oct 17, 2003",1039.30,1050.10,1051.90,1036.60,-1.03%
"Oct 20, 2003",1044.70,1039.30,1044.70,1036.10,0.52%
"Oct 21, 2003",1046.00,1044.70,1048.60,1042.50,0.12%
"Oct 22, 2003",1030.40,1046.00,1046.00,1028.40,-1.49%
"Oct 23, 2003",1033.80,1030.40,1035.40,1025.90,0.33%
"Oct 24, 2003",1028.90,1033.80,1033.80,1018.30,-0.47%
"Oct 27, 2003",1031.10,1028.90,1037.80,1028.90,0.21%
"Oct 28, 2003",1046.80,1031.10,1046.80,1031.10,1.52%
"Oct 29, 2003",1048.10,1046.80,1049.80,1043.30,0.12%
"Oct 30, 2003",1046.90,1048.10,1052.80,1043.80,-0.11%
"Oct 31, 2003",1050.70,1046.90,1053.10,1046.90,0.36%
"Nov 03, 2003",1059.00,1050.70,1061.40,1050.70,0.79%
"Nov 04, 2003",1053.20,1059.00,1059.00,1051.70,-0.55%
"Nov 05, 2003",1051.80,1053.20,1054.50,1044.90,-0.13%
"Nov 06, 2003",1058.00,1051.80,1058.90,1046.90,0.59%
"Nov 07, 2003",1053.20,1058.00,1062.40,1052.20,-0.45%
"Nov 10, 2003",1047.10,1053.20,1053.70,1045.60,-0.58%
"Nov 11, 2003",1046.60,1047.10,1048.20,1043.50,-0.05%
"Nov 12, 2003",1058.60,1046.60,1059.10,1046.60,1.15%
"Nov 13, 2003",1058.40,1058.60,1059.60,1053.00,-0.02%
"Nov 14, 2003",1050.30,1058.40,1063.70,1048.10,-0.77%
"Nov 17, 2003",1043.60,1050.30,1050.30,1035.30,-0.64%
"Nov 18, 2003",1034.20,1043.60,1048.80,1034.00,-0.90%
"Nov 19, 2003",1042.40,1034.20,1044.00,1034.20,0.79%
"Nov 20, 2003",1033.70,1042.40,1046.50,1033.40,-0.83%
"Nov 21, 2003",1035.30,1033.70,1037.60,1031.20,0.15%
"Nov 24, 2003",1052.10,1035.30,1052.10,1035.30,1.62%
"Nov 25, 2003",1053.90,1052.10,1058.00,1049.30,0.17%
"Nov 26, 2003",1058.50,1053.90,1058.50,1048.30,0.44%
"Nov 28, 2003",1058.20,1058.50,1060.60,1056.80,-0.03%
"Dec 01, 2003",1070.10,1058.20,1070.50,1058.20,1.12%
"Dec 02, 2003",1066.60,1070.10,1071.20,1065.20,-0.33%
"Dec 03, 2003",1064.70,1066.60,1074.30,1064.60,-0.18%
"Dec 04, 2003",1069.70,1064.70,1070.40,1063.20,0.47%
"Dec 05, 2003",1061.50,1069.70,1069.70,1060.10,-0.77%
"Dec 08, 2003",1069.30,1061.50,1069.60,1060.90,0.73%
"Dec 09, 2003",1060.20,1069.30,1071.90,1059.20,-0.85%
"Dec 10, 2003",1059.00,1060.20,1063.00,1053.40,-0.11%
"Dec 11, 2003",1071.20,1059.00,1073.60,1059.00,1.15%
"Dec 12, 2003",1074.10,1071.20,1074.80,1067.60,0.27%
"Dec 15, 2003",1068.00,1074.10,1082.80,1068.00,-0.57%
"Dec 16, 2003",1075.10,1068.00,1075.90,1068.00,0.66%
"Dec 17, 2003",1076.50,1075.10,1076.50,1071.10,0.13%
"Dec 18, 2003",1089.20,1076.50,1089.50,1076.50,1.18%
"Dec 19, 2003",1088.70,1089.20,1091.10,1084.20,-0.05%
"Dec 22, 2003",1092.90,1088.70,1092.90,1086.10,0.39%
"Dec 23, 2003",1096.00,1092.90,1097.00,1091.70,0.28%
"Dec 24, 2003",1094.00,1096.00,1096.40,1092.70,-0.18%
"Dec 26, 2003",1095.90,1094.00,1098.50,1094.00,0.17%
"Dec 29, 2003",1109.50,1095.90,1109.50,1095.90,1.24%
"Dec 30, 2003",1109.60,1109.50,1109.80,1106.40,0.01%
"Dec 31, 2003",1111.90,1109.60,1112.60,1106.20,0.21%
"Jan 02, 2004",1108.50,1111.90,1118.80,1105.10,-0.31%
